Cars,Price,Year
Nissan Skyline,28 000 000 ₸,1997
Toyota Camry,7 400 000 ₸,2007
Toyota Camry,2 999 999 ₸,2019
Kia Picanto,1 700 000 ₸,2019
Mercedes-Benz S 320,4 500 000 ₸,1995
BMW 750,14 450 000 ₸,2006
Skoda Rapid,4 990 000 ₸,2015
Kia Rio,3 000 000 ₸,2020
Kia Rio,4 700 000 ₸,2020
Hyundai Sonata,5 350 000 ₸,2019
Volkswagen Golf,6 290 000 ₸,1992
Volkswagen Jetta,6 580 000 ₸,2015
Subaru Legacy,8 900 000 ₸,2009
Mercedes-Benz C 180,1 750 000 ₸,1994
Subaru Outback,4 900 000 ₸,1998
Honda Fit,5 000 000 ₸,2002
Toyota Camry,1 500 000 ₸,2015
Mitsubishi Galant,1 950 000 ₸,1992
Renault Logan,2 200 000 ₸,2019
Mercedes-Benz SL 500,9 000 000 ₸,2005
